DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
03/29/2024,1,4,7RNCHSLR_ALL,RN,5.81,N
03/29/2024,1,4,AEEC,RN,-5.15,N
03/29/2024,1,4,AGUAYO_UNIT1,RN,-5.41,N
03/29/2024,1,4,AJAXWIND_RN,RN,-5.3,N
03/29/2024,1,4,ALGOD_ALL_RN,RN,-10.96,N
03/29/2024,1,4,ALVIN_RN,RN,4.12,N
03/29/2024,1,4,AMADEUS_ALL,RN,-5.45,N
03/29/2024,1,4,AMISTAD_ALL,RN,9.12,N
03/29/2024,1,4,AMOCOOIL_CC1,LCCRN,4.1,N
03/29/2024,1,4,AMOCOOIL_CC2,LCCRN,4.1,N
03/29/2024,1,4,AMOCO_PUN1,PUN,4.1,N
03/29/2024,1,4,AMOCO_PUN2,PUN,4.1,N
03/29/2024,1,4,AMO_AMOCO_1,PCCRN,4.1,N
03/29/2024,1,4,AMO_AMOCO_2,PCCRN,4.1,N
03/29/2024,1,4,AMO_AMOCO_5,PCCRN,4.1,N
03/29/2024,1,4,AMO_AMOCO_G1,PCCRN,4.1,N
03/29/2024,1,4,AMO_AMOCO_G2,PCCRN,4.1,N
03/29/2024,1,4,AMO_AMOCO_G3,PCCRN,4.1,N
03/29/2024,1,4,AMO_AMOCO_S1,PCCRN,4.1,N
03/29/2024,1,4,AMO_AMOCO_S2,PCCRN,4.1,N
03/29/2024,1,4,ANACACHO_ANA,RN,3.19,N
03/29/2024,1,4,ANCHOR_ALL,RN,-5.34,N
03/29/2024,1,4,ANDMDSLR_ALL,RN,-5.46,N
03/29/2024,1,4,ANEM_ESS_RN,RN,-35.73,N
03/29/2024,1,4,ANG_ALL,RN,-6.19,N
03/29/2024,1,4,ANSON1_ALL,RN,-5.49,N
03/29/2024,1,4,APPALOSA_ALL,RN,7.24,N
03/29/2024,1,4,AQUI_ALL,RN,3.07,N
03/29/2024,1,4,ARAGORN_RN,RN,13.13,N
03/29/2024,1,4,ASTRA_RN,RN,-5.27,N
03/29/2024,1,4,ATK_ATKINSG7,RN,3.61,N
03/29/2024,1,4,AURO_SLR_RN,RN,3.42,N
03/29/2024,1,4,AUSTPL_ALL,RN,3.73,N
03/29/2024,1,4,AVIAT_ALL,RN,-6.43,N
03/29/2024,1,4,AZURE_RN,RN,-5.44,N
03/29/2024,1,4,AZ_ALL,RN,4.04,N
03/29/2024,1,4,BAC_RN_ALL,RN,4.1,N
03/29/2024,1,4,BAFFIN_ALL,RN,-9.84,N
03/29/2024,1,4,BAIRDWND_ALL,RN,-5.4,N
03/29/2024,1,4,BAKE_RN_ALL,RN,2.94,N
03/29/2024,1,4,BARROW_ALL,RN,12,N
03/29/2024,1,4,BASTEN_CC1,LCCRN,3.78,N
03/29/2024,1,4,BASTEN_CCU,PCCRN,3.78,N
03/29/2024,1,4,BATCAVE_RN,RN,13.04,N
03/29/2024,1,4,BAYC_BESS_RN,RN,11.67,N
03/29/2024,1,4,BBREEZE_1_2,RN,-9.9,N
03/29/2024,1,4,BCATWD_WD_1,RN,-4.54,N
03/29/2024,1,4,BCH_RN,RN,4.48,N
03/29/2024,1,4,BCK_RN,RN,4.13,N
03/29/2024,1,4,BELM_SLR_RN,RN,3.31,N
